Experiment	Frequency Sweep	
Date	04.05.2017 16:10:16	
User		
f_res (Hz)	31324.0835	
Q	51857	
Phase (deg)	-616.12	
Amp/Exc (nm/mV)	0.483608	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-1.01747E+0	31.3237E+3	546.227E-12	104.440E+0
-998.804E-3	31.3237E+3	524.349E-12	105.769E+0
-980.135E-3	31.3237E+3	535.204E-12	105.695E+0
-961.466E-3	31.3237E+3	543.941E-12	106.839E+0
-942.796E-3	31.3237E+3	559.634E-12	105.103E+0
-924.127E-3	31.3237E+3	575.827E-12	107.490E+0
-905.458E-3	31.3237E+3	535.593E-12	104.649E+0
-886.789E-3	31.3237E+3	581.905E-12	101.741E+0
-868.119E-3	31.3237E+3	597.022E-12	104.985E+0
-849.450E-3	31.3237E+3	592.530E-12	103.968E+0
-830.781E-3	31.3237E+3	609.154E-12	104.082E+0
-812.112E-3	31.3237E+3	599.089E-12	103.732E+0
-793.442E-3	31.3237E+3	615.599E-12	101.161E+0
-774.773E-3	31.3237E+3	626.868E-12	101.021E+0
-756.104E-3	31.3237E+3	629.478E-12	101.258E+0
-737.435E-3	31.3237E+3	652.035E-12	100.776E+0
-718.765E-3	31.3237E+3	686.678E-12	101.642E+0
-700.096E-3	31.3237E+3	652.214E-12	102.680E+0
-681.427E-3	31.3237E+3	675.648E-12	99.5000E+0
-662.758E-3	31.3237E+3	727.241E-12	99.6540E+0
-644.088E-3	31.3237E+3	732.361E-12	103.247E+0
-625.419E-3	31.3237E+3	729.507E-12	101.919E+0
-606.750E-3	31.3237E+3	746.141E-12	102.138E+0
-588.081E-3	31.3237E+3	716.221E-12	100.153E+0
-569.411E-3	31.3237E+3	742.079E-12	97.2487E+0
-550.742E-3	31.3237E+3	814.093E-12	97.2216E+0
-532.073E-3	31.3237E+3	830.395E-12	102.334E+0
-513.404E-3	31.3237E+3	801.018E-12	101.604E+0
-494.734E-3	31.3237E+3	822.582E-12	98.4814E+0
-476.065E-3	31.3237E+3	817.644E-12	96.2001E+0
-457.396E-3	31.3237E+3	879.062E-12	94.3227E+0
-438.727E-3	31.3237E+3	923.888E-12	96.6326E+0
-420.057E-3	31.3237E+3	940.346E-12	97.6419E+0
-401.388E-3	31.3237E+3	908.856E-12	96.5310E+0
-382.719E-3	31.3237E+3	941.528E-12	93.8648E+0
-364.049E-3	31.3237E+3	1.02245E-9	93.2948E+0
-345.380E-3	31.3237E+3	1.06892E-9	93.9220E+0
-326.711E-3	31.3237E+3	1.06562E-9	95.4104E+0
-308.042E-3	31.3237E+3	980.753E-12	94.8793E+0
-289.372E-3	31.3237E+3	979.026E-12	90.4209E+0
-270.703E-3	31.3237E+3	1.02040E-9	87.1213E+0
-252.034E-3	31.3237E+3	1.10405E-9	85.8976E+0
-233.364E-3	31.3237E+3	1.16105E-9	86.7419E+0
-214.695E-3	31.3237E+3	1.21029E-9	86.6814E+0
-196.026E-3	31.3237E+3	1.19823E-9	87.1254E+0
-177.357E-3	31.3237E+3	1.21294E-9	85.4805E+0
-158.687E-3	31.3237E+3	1.27913E-9	83.0874E+0
-140.018E-3	31.3237E+3	1.35672E-9	82.4959E+0
-121.349E-3	31.3237E+3	1.39153E-9	82.2702E+0
-102.680E-3	31.3237E+3	1.33312E-9	83.6408E+0
-84.0103E-3	31.3237E+3	1.34908E-9	79.2319E+0
