shift	center	amp	phase
340.008E-3	31.3223E+3	439.751E-12	-52.3386E+0
330.693E-3	31.3223E+3	440.898E-12	-50.0858E+0
321.378E-3	31.3223E+3	442.861E-12	-50.1911E+0
312.063E-3	31.3223E+3	481.291E-12	-55.1381E+0
302.748E-3	31.3223E+3	472.222E-12	-50.9046E+0
293.432E-3	31.3223E+3	498.378E-12	-50.6020E+0
284.117E-3	31.3223E+3	489.585E-12	-49.6149E+0
274.802E-3	31.3223E+3	539.224E-12	-51.9361E+0
265.487E-3	31.3223E+3	497.464E-12	-49.1949E+0
256.172E-3	31.3223E+3	568.911E-12	-48.5731E+0
246.857E-3	31.3223E+3	542.898E-12	-48.8482E+0
237.542E-3	31.3223E+3	559.766E-12	-49.3764E+0
228.227E-3	31.3223E+3	597.141E-12	-47.7447E+0
218.912E-3	31.3223E+3	603.706E-12	-48.4547E+0
209.597E-3	31.3223E+3	610.187E-12	-48.8408E+0
200.282E-3	31.3223E+3	623.164E-12	-47.4380E+0
190.967E-3	31.3223E+3	651.098E-12	-45.8601E+0
181.652E-3	31.3223E+3	683.310E-12	-46.0080E+0
172.337E-3	31.3223E+3	712.727E-12	-45.7543E+0
163.021E-3	31.3223E+3	698.664E-12	-45.5244E+0
153.706E-3	31.3223E+3	728.442E-12	-43.4616E+0
144.391E-3	31.3223E+3	765.585E-12	-41.9897E+0
135.076E-3	31.3223E+3	813.081E-12	-42.2225E+0
125.761E-3	31.3223E+3	857.608E-12	-42.1493E+0
116.446E-3	31.3223E+3	866.444E-12	-43.7796E+0
107.131E-3	31.3223E+3	867.287E-12	-42.9369E+0
97.8160E-3	31.3223E+3	913.123E-12	-36.9588E+0
88.5009E-3	31.3223E+3	983.131E-12	-35.8149E+0
79.1858E-3	31.3223E+3	1.00666E-9	-35.4218E+0
69.8708E-3	31.3223E+3	1.03602E-9	-34.6821E+0
60.5557E-3	31.3223E+3	1.09313E-9	-33.8155E+0
51.2406E-3	31.3223E+3	1.13297E-9	-32.7014E+0
41.9255E-3	31.3223E+3	1.20596E-9	-30.2418E+0
32.6105E-3	31.3223E+3	1.26994E-9	-27.8925E+0
23.2954E-3	31.3223E+3	1.34850E-9	-25.2562E+0
13.9803E-3	31.3223E+3	1.40693E-9	-22.8989E+0
4.66527E-3	31.3223E+3	1.47290E-9	-21.8060E+0
-4.64980E-3	31.3223E+3	1.54090E-9	-19.6766E+0
-13.9649E-3	31.3223E+3	1.59828E-9	-16.2583E+0
-23.2799E-3	31.3223E+3	1.66938E-9	-11.8328E+0
-32.5950E-3	31.3223E+3	1.76044E-9	-8.17866E+0
-41.9101E-3	31.3223E+3	1.84491E-9	-4.50855E+0
-51.2251E-3	31.3223E+3	1.92068E-9	-230.910E-3
-60.5402E-3	31.3223E+3	1.98388E-9	4.41135E+0
-69.8553E-3	31.3223E+3	2.07572E-9	9.05335E+0
-79.1704E-3	31.3223E+3	2.16690E-9	14.2962E+0
-88.4854E-3	31.3223E+3	2.22733E-9	19.5106E+0
-97.8005E-3	31.3223E+3	2.26653E-9	25.1262E+0
-107.116E-3	31.3223E+3	2.28643E-9	31.9013E+0
-116.431E-3	31.3223E+3	2.29475E-9	38.5785E+0
-125.746E-3	31.3223E+3	2.27244E-9	44.9436E+0
-135.061E-3	31.3223E+3	2.22521E-9	52.2581E+0
-144.376E-3	31.3223E+3	2.14362E-9	57.5832E+0
-153.691E-3	31.3223E+3	2.04509E-9	63.3537E+0
-163.006E-3	31.3223E+3	1.94182E-9	69.0739E+0
-172.321E-3	31.3223E+3	1.80529E-9	74.3636E+0
-181.636E-3	31.3223E+3	1.67193E-9	78.8133E+0
-190.951E-3	31.3223E+3	1.53857E-9	82.3607E+0
-200.266E-3	31.3223E+3	1.43659E-9	84.5036E+0
-209.581E-3	31.3223E+3	1.32321E-9	86.9274E+0
-218.896E-3	31.3223E+3	1.26200E-9	87.3152E+0
-228.211E-3	31.3223E+3	1.22638E-9	89.6921E+0
-237.527E-3	31.3223E+3	1.11806E-9	91.5854E+0
-246.842E-3	31.3223E+3	1.04747E-9	91.1939E+0
-256.157E-3	31.3223E+3	991.710E-12	91.5158E+0
-265.472E-3	31.3223E+3	963.393E-12	93.5410E+0
-274.787E-3	31.3223E+3	895.702E-12	94.8472E+0
-284.102E-3	31.3223E+3	859.330E-12	93.5167E+0
-293.417E-3	31.3223E+3	869.013E-12	94.2131E+0
-302.732E-3	31.3223E+3	833.331E-12	98.2766E+0
-312.047E-3	31.3223E+3	764.115E-12	100.245E+0
-321.362E-3	31.3223E+3	703.924E-12	96.2974E+0
-330.677E-3	31.3223E+3	723.587E-12	98.1092E+0
-339.992E-3	31.3223E+3	698.175E-12	97.2027E+0
-349.307E-3	31.3223E+3	697.297E-12	100.431E+0
-358.623E-3	31.3223E+3	629.572E-12	99.3301E+0
-367.938E-3	31.3223E+3	635.261E-12	98.0695E+0
-377.253E-3	31.3223E+3	631.734E-12	101.090E+0
