Experiment	Frequency Sweep	
Date	30.04.2017 16:50:36	
User		
f_res (Hz)	31692.5183	
Q	17681	
Phase (deg)	-59.97	
Amp/Exc (nm/mV)	0.319250	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
261.639E-3	31.6915E+3	2.38831E-9	46.6328E+0
336.394E-3	31.6915E+3	2.49953E-9	43.9021E+0
411.149E-3	31.6915E+3	2.60815E-9	40.8016E+0
485.905E-3	31.6915E+3	2.71523E-9	37.6432E+0
560.660E-3	31.6915E+3	2.81761E-9	33.8336E+0
635.416E-3	31.6915E+3	2.92928E-9	30.1224E+0
710.171E-3	31.6915E+3	3.02499E-9	26.2476E+0
784.926E-3	31.6915E+3	3.09457E-9	21.9490E+0
859.682E-3	31.6915E+3	3.13419E-9	17.1653E+0
934.437E-3	31.6915E+3	3.17502E-9	12.4697E+0
1.00919E+0	31.6915E+3	3.19250E-9	7.81855E+0
1.08395E+0	31.6915E+3	3.19120E-9	2.73332E+0
1.15870E+0	31.6915E+3	3.18250E-9	-2.34360E+0
1.23346E+0	31.6915E+3	3.17023E-9	-7.30166E+0
1.30821E+0	31.6915E+3	3.14161E-9	-12.1903E+0
1.38297E+0	31.6915E+3	3.09109E-9	-16.9645E+0
1.45773E+0	31.6915E+3	3.02472E-9	-21.5042E+0
1.53248E+0	31.6915E+3	2.91806E-9	-25.5439E+0
1.60724E+0	31.6915E+3	2.80162E-9	-29.3101E+0
1.68199E+0	31.6915E+3	2.69376E-9	-32.9641E+0
1.75675E+0	31.6915E+3	2.57805E-9	-35.9367E+0
1.83150E+0	31.6915E+3	2.45773E-9	-39.0603E+0
1.90626E+0	31.6915E+3	2.33624E-9	-41.4898E+0
1.98101E+0	31.6915E+3	2.24106E-9	-43.5774E+0
2.05577E+0	31.6915E+3	2.14859E-9	-46.0776E+0
2.13052E+0	31.6915E+3	2.04427E-9	-48.1694E+0
2.20528E+0	31.6915E+3	1.95316E-9	-50.1220E+0
2.28003E+0	31.6915E+3	1.87238E-9	-51.8922E+0
2.35479E+0	31.6915E+3	1.79401E-9	-52.9858E+0
2.42955E+0	31.6915E+3	1.72510E-9	-54.6414E+0
2.50430E+0	31.6915E+3	1.65948E-9	-55.8051E+0
2.57906E+0	31.6915E+3	1.58339E-9	-56.4704E+0
2.65381E+0	31.6915E+3	1.53498E-9	-57.7305E+0
2.72857E+0	31.6915E+3	1.48197E-9	-59.2467E+0
2.80332E+0	31.6915E+3	1.42752E-9	-59.8105E+0
2.87808E+0	31.6915E+3	1.37582E-9	-61.0556E+0
2.95283E+0	31.6915E+3	1.32091E-9	-62.2314E+0
3.02759E+0	31.6915E+3	1.27642E-9	-63.1205E+0
3.10234E+0	31.6915E+3	1.24457E-9	-64.1087E+0
3.17710E+0	31.6915E+3	1.21824E-9	-64.6168E+0
3.25186E+0	31.6915E+3	1.17001E-9	-64.9536E+0
3.32661E+0	31.6915E+3	1.13587E-9	-65.9631E+0
3.40137E+0	31.6915E+3	1.09485E-9	-66.1832E+0
3.47612E+0	31.6915E+3	1.06695E-9	-66.7988E+0
3.55088E+0	31.6915E+3	1.04221E-9	-67.3938E+0
3.62563E+0	31.6915E+3	1.01883E-9	-67.9718E+0
3.70039E+0	31.6915E+3	988.264E-12	-68.2034E+0
3.77514E+0	31.6915E+3	961.307E-12	-68.5511E+0
3.84990E+0	31.6915E+3	941.183E-12	-68.8337E+0
3.92465E+0	31.6915E+3	920.394E-12	-69.1248E+0
3.99941E+0	31.6915E+3	898.428E-12	-69.7973E+0
4.07416E+0	31.6915E+3	875.067E-12	-70.2357E+0
4.14892E+0	31.6915E+3	850.090E-12	-70.8070E+0
4.22368E+0	31.6915E+3	831.585E-12	-70.7804E+0
4.29843E+0	31.6915E+3	811.215E-12	-70.3286E+0
4.37319E+0	31.6915E+3	791.989E-12	-71.4102E+0
4.44794E+0	31.6915E+3	782.310E-12	-71.4052E+0
4.52270E+0	31.6915E+3	761.560E-12	-71.7454E+0
